system_id,task_id,completion_status,failure_type,search_calls,fetch_calls,relevant_searches,tool_calls,wall_time_seconds,evidence_count,structural_subquestion_coverage
simple_react,fixture-budget-resume,budget_exhausted,budget_exhausted,4,0,4,5,0.6788646920031169,,
simple_react,fixture-conflict,completed,,2,3,2,5,0.6835898219869705,,
simple_react,fixture-fetch-retry,completed,,1,3,1,4,0.6822318829945289,,
simple_react,fixture-nonempty-irrelevant,completed,,1,0,0,1,0.6621382309967885,,
simple_react,fixture-one-hop,completed,,1,2,1,3,0.6829372060019523,,
simple_react,fixture-two-source,completed,,2,2,2,4,0.6874677730083931,,
vanilla_deepagents,fixture-budget-resume,budget_exhausted,budget_exhausted,4,0,4,5,0.753277618001448,,
vanilla_deepagents,fixture-conflict,completed,,2,3,2,5,0.7476970360003179,,
vanilla_deepagents,fixture-fetch-retry,completed,,1,3,1,4,0.7467528799897991,,
vanilla_deepagents,fixture-nonempty-irrelevant,completed,,1,0,0,1,0.7294063169974834,,
vanilla_deepagents,fixture-one-hop,completed,,1,2,1,3,0.7427942610083846,,
vanilla_deepagents,fixture-two-source,completed,,2,2,2,4,0.7390501049958402,,
tongagent,fixture-budget-resume,budget_exhausted,budget_exhausted,4,0,1,6,1.8635937200015178,0,0.0
tongagent,fixture-conflict,completed,,2,3,2,10,2.4593042469932698,3,1.0
tongagent,fixture-fetch-retry,completed,,1,3,1,8,1.6939630289998604,2,1.0
tongagent,fixture-nonempty-irrelevant,partial,,1,0,0,2,1.245436309996876,0,0.0
tongagent,fixture-one-hop,completed,,1,2,1,7,1.7883240100054536,2,1.0
tongagent,fixture-two-source,completed,,2,2,2,8,1.6641365459945519,2,1.0
